"","cpid","water.unit.name","water.unit.type","ownership","unitid","variable","value"
"8023","MAHBUBNAGAR","stream 2-412","STREAM OR RIVER",1,6002,"v12",1
"8039","MALKANGIRI"," pond1-512","POND",1,1016,"v12",1
"8061","MALKANGIRI","river-512","STREAM OR RIVER",1,6007,"v12",1
"8097","PALAMU","Pond1-612","POND",1,1026,"v12",1
"8098","PALAMU","Pond 2-612","POND",1,1027,"v12",1
"8154","PALAMU","Ahar1 -612","AHAR",1,3053,"v12",1
"8155","PALAMU","Ahar 2-612","AHAR",1,3054,"v12",1
"8156","PALAMU","Ahar 3-612","AHAR",1,3055,"v12",1
"8157","PALAMU","Ahar 4-612","AHAR",1,3056,"v12",1
"8158","PALAMU","Ahar 5-612","AHAR",1,3057,"v12",1
"8159","PALAMU","Ahar 6-612","AHAR",1,3058,"v12",1
"8160","PALAMU","Ahar 7-612","AHAR",1,3059,"v12",1
"8161","PALAMU","Ahar 8-612","AHAR",1,3060,"v12",1
"8162","PALAMU","Ahar 9-612","AHAR",1,3061,"v12",1
"8163","PALAMU","Ahar 10-612","AHAR",1,3062,"v12",1
"8164","PALAMU","Ahar11-612","AHAR",1,3063,"v12",1
"8262","BANKURA","Pond 1  712","POND",1,1058,"v12",1
"8263","BANKURA","Pond 2  712","POND",1,1059,"v12",1
"8264","BANKURA","Pond 3  712","POND",1,1060,"v12",1
"8265","BANKURA","Pond 4  712","POND",1,1061,"v12",1
"8266","BANKURA","Pond 5  712","POND",1,1062,"v12",1
"8267","BANKURA","Pond 6  712","POND",1,1063,"v12",1
"8268","BANKURA","Pond 7  712","POND",1,1064,"v12",1
"8362","KACHCHH","pond 1-113","POND",1,1022,"v13",1
"8363","KACHCHH","pond2-113","POND",1,1023,"v13",1
"8391","KACHCHH","checkdam1-113","CHECK DAM",1,4020,"v13",1
"8464","DEVAS","Pond 1(213)","POND",1,1059,"v13",1
"8516","DEVAS","Check Dam1(213)","CHECK DAM",1,4038,"v13",1
"8517","DEVAS","Check Dam2(213)","CHECK DAM",1,4039,"v13",1
"8540","DEVAS","River1(213)","STREAM OR RIVER",1,6020,"v13",1
"8551","DEVAS","Canal 1(213)","CANAL",1,7006,"v13",1
"8553","KHANDWA","Pond  1 -313","POND",1,1002,"v13",1
"8570","KHANDWA","Check Dam                     1-313          ","TANK",1,2017,"v13",1
"8571","KHANDWA","Check Dam                     2-313","TANK",1,2018,"v13",1
"8572","KHANDWA","Check Dam                    3-313","TANK",1,2019,"v13",1
"8612","KHANDWA","Stream                    1-313","STREAM OR RIVER",1,6030,"v13",1
"8613","KHANDWA"," Stream                      2-313","STREAM OR RIVER",1,6031,"v13",1
"8614","KHANDWA","Stream                                3-313","STREAM OR RIVER",1,6032,"v13",1
"8658","MAHBUBNAGAR","tank 5-413","TANK",1,2005,"v13",1
"8757","MALKANGIRI","river-513","STREAM OR RIVER",1,6008,"v13",1
"8794","PALAMU","Pond 1-613","POND",1,1028,"v13",1
"8860","PALAMU","Ahar 1-613","AHAR",1,3064,"v13",1
"8861","PALAMU","Ahar 1-613","AHAR",1,3065,"v13",1
"8892","PALAMU","Chack dam 1-613","CHECK DAM",1,4004,"v13",1
"8899","PALAMU","River1-613","STREAM OR RIVER",1,6006,"v13",1
"8964","BANKURA","Pond 1  713","POND",1,1065,"v13",1
"8965","BANKURA","Pond 2  713","POND",1,1066,"v13",1
"8966","BANKURA","Pond 3  713","POND",1,1067,"v13",1
"8967","BANKURA","Pond 4  713","POND",1,1068,"v13",1
"8968","BANKURA","Pond 5  713","POND",1,1069,"v13",1
"8969","BANKURA","Pond 5  713","POND",1,1070,"v13",1
"8970","BANKURA","Pond 6  713","POND",1,1071,"v13",1
"8971","BANKURA","Pond 7  713","POND",1,1072,"v13",1
"8972","BANKURA","Pond 8  713","POND",1,1073,"v13",1
"8973","BANKURA","Pond 9  713","POND",1,1074,"v13",1
"8974","BANKURA","Pond 10  713","POND",1,1075,"v13",1
"8975","BANKURA","Pond 11  713","POND",1,1076,"v13",1
"8976","BANKURA","Pond 12  713","POND",1,1077,"v13",1
"9029","BANKURA","River 1  713","STREAM OR RIVER",1,6005,"v13",1
"9098","KACHCHH","River-1- 114","STREAM OR RIVER",1,6005,"v14",1
"9160","DEVAS","Pond 1(214)","POND",1,1060,"v14",1
"9161","DEVAS","Pond 2(214)","POND",1,1061,"v14",1
"9331","KHANDWA"," Stream                    1-314","STREAM OR RIVER",1,6054,"v14",1
"9332","KHANDWA"," Stream                   2-314","STREAM OR RIVER",1,6055,"v14",1
"9333","KHANDWA","Stream                   3-314","STREAM OR RIVER",1,6056,"v14",1
"9347","MAHBUBNAGAR","pond 8-414","POND",1,1008,"v14",1
"9401","MAHBUBNAGAR","check dam 1-414","CHECK DAM",1,4043,"v14",1
"9402","MAHBUBNAGAR","check dam 2-414","CHECK DAM",1,4044,"v14",1
"9403","MAHBUBNAGAR","check dam3-414","CHECK DAM",1,4045,"v14",1
"9557","PALAMU","Ahar 1-614","AHAR",1,3066,"v14",1
"9558","PALAMU","Ahar 2-614","AHAR",1,3067,"v14",1
"9559","PALAMU","Ahar 3-614","AHAR",1,3068,"v14",1
"9560","PALAMU","Ahar 4-614","AHAR",1,3069,"v14",1
"9561","PALAMU","Ahar 5-614","AHAR",1,3070,"v14",1
"9562","PALAMU","Ahar 6-614","AHAR",1,3071,"v14",1
"9563","PALAMU","Ahar 7-614","AHAR",1,3072,"v14",1
"9564","PALAMU","Ahar 8-614","AHAR",1,3073,"v14",1
"9565","PALAMU","Ahar 9-614","AHAR",1,3074,"v14",1
"9566","PALAMU","Ahar 10-614","AHAR",1,3075,"v14",1
"9672","BANKURA","Pond 1  714","POND",1,1078,"v14",1
"9673","BANKURA","Pond 2  714","POND",1,1079,"v14",1
"9674","BANKURA","Pond 3  714","POND",1,1080,"v14",1
"9675","BANKURA","Pond 4  714","POND",1,1081,"v14",1
"9718","BANKURA","Dam1  714","CHECK DAM",1,4003,"v14",1
"9754","KACHCHH","pond 1-115","POND",1,1024,"v15",1
"9782","KACHCHH","checkdam1-115","CHECK DAM",1,4021,"v15",1
"9783","KACHCHH","checkdam2-115","CHECK DAM",1,4022,"v15",1
"9794","KACHCHH","River-1- 115","STREAM OR RIVER",1,6006,"v15",1
"9857","DEVAS","Pond 1(215)","POND",1,1062,"v15",1
"9858","DEVAS","Pond 2(215)","POND",1,1063,"v15",1
"9859","DEVAS","Pond 3(215)","POND",1,1064,"v15",1
"9860","DEVAS","Pond 4(215)","POND",1,1065,"v15",1
"9963","KHANDWA","Check Dam                      1-315","TANK",1,2020,"v15",1
"10005","KHANDWA","Stream                                 1-315","STREAM OR RIVER",1,6033,"v15",1
"10006","KHANDWA","Stream                       2-315","STREAM OR RIVER",1,6034,"v15",1
"10007","KHANDWA","River                -315","STREAM OR RIVER",1,6035,"v15",1
"10049","MAHBUBNAGAR","tank 6-415","TANK",1,2006,"v15",1
"10050","MAHBUBNAGAR","tank 7-415","TANK",1,2007,"v15",1
"10099","MAHBUBNAGAR","check dam 1-415","CHECK DAM",1,4046,"v15",1
"10100","MAHBUBNAGAR","check dam 2-415","CHECK DAM",1,4047,"v15",1
"10137","MALKANGIRI","spring1-515","SPRING",1,5005,"v15",1
"10138","MALKANGIRI","spring2-515","SPRING",1,5006,"v15",1
"10139","MALKANGIRI","spring3-515","SPRING",1,5007,"v15",1
"10371","BANKURA","Pond 1  715","POND",1,1082,"v15",1
"10372","BANKURA","Pond 2  715","POND",1,1083,"v15",1
"10373","BANKURA","Pond 3  715","POND",1,1084,"v15",1
"10374","BANKURA","Pond 4  715","POND",1,1085,"v15",1
"10375","BANKURA","Pond 5  715","POND",1,1086,"v15",1
"10450","KACHCHH","pond 1-116","POND",1,1025,"v16",1
"10451","KACHCHH","pond2-116","POND",1,1026,"v16",1
"10563","DEVAS","Tank(216)","TANK",1,2004,"v16",1
"10702","KHANDWA","River                -315","STREAM OR RIVER",1,6035,"v16",1
"10703","KHANDWA"," Stream                      1-316","STREAM OR RIVER",1,6036,"v16",1
"10704","KHANDWA","Stream                                 2 -316","STREAM OR RIVER",1,6037,"v16",1
"10746","MAHBUBNAGAR","tank 8-416","TANK",1,2008,"v16",1
"10957","PALAMU","Ahar1-616","AHAR",1,3076,"v16",1
"11071","BANKURA","Pond 1  716","POND",1,1087,"v16",1
"11072","BANKURA","Pond 2  716","POND",1,1088,"v16",1
"11073","BANKURA","Pond 3  716","POND",1,1089,"v16",1
"11074","BANKURA","Pond 4  716","POND",1,1090,"v16",1
"11075","BANKURA","Pond 5  716","POND",1,1091,"v16",1
"11076","BANKURA","Pond 6  716","POND",1,1092,"v16",1
"11077","BANKURA","Pond 7  716","POND",1,1093,"v16",1
"11109","BANKURA","Check Dam 1  716","CHECK DAM",1,4004,"v16",1
"11147","KACHCHH","pond 1-117","POND",1,1027,"v17",1
"11174","KACHCHH","checkdam1-117","CHECK DAM",1,4023,"v17",1
"11175","KACHCHH","checkdam2-117","CHECK DAM",1,4024,"v17",1
"11321","DEVAS","River (217)","STREAM OR RIVER",1,6021,"v17",1
"11419","KHANDWA","Stream                                1-317","STREAM OR RIVER",1,6057,"v17",1
"11420","KHANDWA","Stream                                2-317","STREAM OR RIVER",1,6058,"v17",1
"11421","KHANDWA","Stream                                3-317","STREAM OR RIVER",1,6059,"v17",1
"11422","KHANDWA","Stream                                4-317","STREAM OR RIVER",1,6060,"v17",1
"11433","MAHBUBNAGAR","pond 9-417","POND",1,1009,"v17",1
"11491","MAHBUBNAGAR","check dam 1-417","CHECK DAM",1,4048,"v17",1
"11492","MAHBUBNAGAR","check dam 2-417","CHECK DAM",1,4049,"v17",1
"11493","MAHBUBNAGAR","check dam 3-417","CHECK DAM",1,4050,"v17",1
"11515","MALKANGIRI"," pond1-517","POND",1,1017,"v17",1
"11575","PALAMU","Pond1-617","POND",1,1029,"v17",1
"11653","PALAMU","Ahar 1-617","AHAR",1,3077,"v17",1
"11654","PALAMU","Ahar 2-617","AHAR",1,3078,"v17",1
"11655","PALAMU","Ahar 3-617","AHAR",1,3079,"v17",1
"11656","PALAMU","Ahar 4-617","AHAR",1,3080,"v17",1
"11657","PALAMU","Ahar 5-617","AHAR",1,3081,"v17",1
"11658","PALAMU","Ahar 6-617","AHAR",1,3082,"v17",1
"11659","PALAMU","Ahar7-617","AHAR",1,3083,"v17",1
"11660","PALAMU","Ahar 8-617","AHAR",1,3084,"v17",1
"11661","PALAMU","Ahar 9-617","AHAR",1,3085,"v17",1
"11662","PALAMU","Ahar 10-617","AHAR",1,3086,"v17",1
"11773","BANKURA","Pond 1  717","POND",1,1094,"v17",1
"11774","BANKURA","Pond 2  717","POND",1,1095,"v17",1
"11775","BANKURA","Pond 3  717","POND",1,1096,"v17",1
"11776","BANKURA","Pond 4  717","POND",1,1097,"v17",1
"11777","BANKURA","Pond 5  717","POND",1,1098,"v17",1
"11778","BANKURA","Pond 6  717","POND",1,1099,"v17",1
"11779","BANKURA","Pond 7  717","POND",1,1100,"v17",1
"11780","BANKURA","Pond 8  717","POND",1,1101,"v17",1
"11843","KACHCHH","pond 1-118","POND",1,1028,"v18",1
"11844","KACHCHH","pond2-118","POND",1,1029,"v18",1
"11871","KACHCHH","checkdam1-118","CHECK DAM",1,4025,"v18",1
"11993","DEVAS","Check Dam1(218)","CHECK DAM",1,4040,"v18",1
"12017","DEVAS","River1(218)","STREAM OR RIVER",1,6022,"v18",1
"12042","KHANDWA","Chak dam                         1 -318","TANK",1,2014,"v18",1
"12043","KHANDWA","Chak dam                         2 -318","TANK",1,2015,"v18",1
"12082","KHANDWA","Stream                                 1 -318","STREAM OR RIVER",1,6025,"v18",1
"12083","KHANDWA","Stream                                 2 -318","STREAM OR RIVER",1,6026,"v18",1
"12137","MAHBUBNAGAR","tank 9-418","TANK",1,2009,"v18",1
"12189","MAHBUBNAGAR","check dam 1 -418","CHECK DAM",1,4051,"v18",1
"12190","MAHBUBNAGAR","check dam 2-418","CHECK DAM",1,4052,"v18",1
"12476","BANKURA","Pond 1  718","POND",1,1102,"v18",1
"12477","BANKURA","Pond 2  718","POND",1,1103,"v18",1
"12478","BANKURA","Pond 3  718","POND",1,1104,"v18",1
"12479","BANKURA","Pond 4  718","POND",1,1105,"v18",1
"12480","BANKURA","Pond 5  718","POND",1,1106,"v18",1
"12481","BANKURA","Pond 6  718","POND",1,1107,"v18",1
"12505","BANKURA","River 1  718","STREAM OR RIVER",1,6006,"v18",1
"12540","KACHCHH","pond 1-119","POND",1,1030,"v19",1
"12541","KACHCHH","pond2-119","POND",1,1031,"v19",1
"12567","KACHCHH","checkdam1-119","CHECK DAM",1,4026,"v19",1
"12568","KACHCHH","checkdam2-119","CHECK DAM",1,4027,"v19",1
"12713","DEVAS","River2(219)","STREAM OR RIVER",1,6023,"v19",1
"12714","DEVAS","River3(219)","STREAM OR RIVER",1,6024,"v19",1
"12722","KHANDWA"," Pond 1      -319                 ","POND",1,1001,"v19",1
"12744","KHANDWA","Check Dam                     1-319","TANK",1,2021,"v19",1
"12745","KHANDWA","Check Dam                     2-319","TANK",1,2022,"v19",1
"12790","KHANDWA","Stream                       1-319","STREAM OR RIVER",1,6038,"v19",1
"12791","KHANDWA"," Stream                 2-319","STREAM OR RIVER",1,6039,"v19",1
"12833","MAHBUBNAGAR","tank 10-419","TANK",1,2010,"v19",1
"12906","MALKANGIRI","pond1-519","POND",1,1018,"v19",1
"12928","MALKANGIRI","river-519","STREAM OR RIVER",1,6009,"v19",1
"13053","PALAMU","Ahar 1-619","AHAR",1,3087,"v19",1
"13054","PALAMU","Ahar 2-619","AHAR",1,3088,"v19",1
"13061","PALAMU","Chack dam 1-619","CHECK DAM",1,4003,"v19",1
"13177","BANKURA","Pond 1  719","POND",1,1108,"v19",1
"13178","BANKURA","pond 2  719","POND",1,1109,"v19",1
"13179","BANKURA","pond 3  719","POND",1,1110,"v19",1
"13180","BANKURA","pond 4  719","POND",1,1111,"v19",1
"13220","KACHCHH","pond 1-120","POND",1,1015,"v20",1
"13221","KACHCHH","pond2-120","POND",1,1016,"v20",1
"13336","DEVAS","Pond1(220)","POND",1,1066,"v20",1
"13337","DEVAS","Pond2(220)","POND",1,1067,"v20",1
"13338","DEVAS","Pond3(220)","POND",1,1068,"v20",1
"13339","DEVAS","Pond4(220)","POND",1,1069,"v20",1
"13384","DEVAS","Chek dam1(220)","CHECK DAM",1,4041,"v20",1
"13385","DEVAS","Chek dam2(220)","CHECK DAM",1,4042,"v20",1
"13410","DEVAS","River(220)","STREAM OR RIVER",1,6025,"v20",1
"13446","KHANDWA","Check Dam                     1-320","TANK",1,2028,"v20",1
"13447","KHANDWA","Check Dam                     2-320","TANK",1,2029,"v20",1
"13508","KHANDWA","Stream                              1-320","STREAM OR RIVER",1,6061,"v20",1
"13509","KHANDWA","Stream                              2-320","STREAM OR RIVER",1,6062,"v20",1
"13581","MAHBUBNAGAR","check dam 1-420","CHECK DAM",1,4053,"v20",1
"13624","MALKANGIRI","river-520","STREAM OR RIVER",1,6010,"v20",1
"13661","PALAMU","Pond 1-620","POND",1,1030,"v20",1
"13750","PALAMU","Ahar 1-620","AHAR",1,3089,"v20",1
"13751","PALAMU","Ahar 2-620","AHAR",1,3090,"v20",1
"13752","PALAMU","Ahar 3-620","AHAR",1,3091,"v20",1
"13753","PALAMU","Ahar4-620","AHAR",1,3092,"v20",1
"13758","PALAMU","Check dam 1-620","CHECK DAM",1,4005,"v20",1
"13876","BANKURA","Pond 1   720","POND",1,1112,"v20",1
"13877","BANKURA","Pond 2   720","POND",1,1113,"v20",1
"13878","BANKURA","Pond 3   720","POND",1,1114,"v20",1
"13879","BANKURA","Pond 4   720","POND",1,1115,"v20",1
"13880","BANKURA","Pond 5   720","POND",1,1116,"v20",1
"13881","BANKURA","Pond 6   720","POND",1,1117,"v20",1
"13882","BANKURA","Pond 7   720","POND",1,1118,"v20",1
"13883","BANKURA","Pond 8   720","POND",1,1119,"v20",1
"13884","BANKURA","Pond 9   720","POND",1,1120,"v20",1
"13885","BANKURA","Pond 10   720","POND",1,1121,"v20",1
"14992","MALKANGIRI"," pond-522","POND",1,1019,"X.1",1
"14997","MALKANGIRI","dam-522","CHECK DAM",1,4002,"X.1",1
"17078","MALKANGIRI","pond-525","POND",1,1020,"X.4",1
"17100","MALKANGIRI","river-525","STREAM OR RIVER",1,6011,"X.4",1
"17774","MALKANGIRI"," pond-526","POND",1,1021,"X.5",1
"17796","MALKANGIRI","river-526","STREAM OR RIVER",1,6012,"X.5",1
"18473","MALKANGIRI","spring-527","SPRING",1,5001,"X.6",1
"18492","MALKANGIRI","river-527","STREAM OR RIVER",1,6013,"X.6",1
"19146","MALKANGIRI"," pond1-504","POND",1,1003,"X.7",1
"19149","MALKANGIRI"," pond2-508","POND",1,1006,"X.7",1
"19165","MALKANGIRI"," pond-528","POND",1,1022,"X.7",1
"19169","MALKANGIRI","spring-528","SPRING",1,5002,"X.7",1
"19883","MALKANGIRI","river-529","STREAM OR RIVER",1,6014,"X.8",1
